name,cas_number,category,ifra_ncs,description
Rosemary oil,8000-25-7,Natural,J2.17,Herbal medicinal camphoraceous note
Peppermint oil,8006-90-4,Natural,J2.17,Cool minty fresh note strong
Spearmint oil,8008-79-5,Natural,J2.17,Sweet mint fresh note
Eucalyptus oil,8000-48-4,Natural,J2.17,Cool medicinal camphoraceous note
Tea tree oil,68647-73-4,Natural,J2.17,Medicinal herbal fresh note
Basil oil,8015-73-4,Natural,J2.17,Herbal anise licorice note
Clary sage oil,8016-63-5,Natural,J2.17,Herbal nutty tobacco note
Thyme oil,8007-46-3,Natural,J2.17,Herbal medicinal spicy note
Oregano oil,8007-11-2,Natural,J2.17,Herbal spicy phenolic note
Marjoram oil,8015-01-8,Natural,J2.17,Herbal woody camphoraceous note
Rose absolute,8007-01-0,Natural,F2.17,Floral rose damascena note precious
Rose otto,8007-01-0,Natural,F2.17,Floral rose damascena note steam distilled
Jasmine absolute,8022-96-6,Natural,F2.17,Floral sweet indolic note precious
Tuberose absolute,8024-05-3,Natural,F2.17,Floral creamy narcotic note precious
Ylang ylang oil,8006-81-3,Natural,F2.17,Floral sweet banana-like note
Neroli absolute,8016-38-4,Natural,B2.20,Floral citrus orange blossom note
Osmanthus absolute,68917-05-5,Natural,F2.17,Floral apricot fruity note
Champaca absolute,8022-88-6,Natural,F2.17,Floral sweet magnolia note
Mimosa absolute,8031-03-6,Natural,F2.17,Floral honey powdery note
Violet leaf absolute,8024-08-6,Natural,C2.17,Green leafy cucumber note
Cassie absolute,8023-82-3,Natural,F2.17,Floral violet powdery note
Narcissus absolute,8024-02-0,Natural,F2.17,Floral honey green note
Hyacinth absolute,8023-89-0,Natural,F2.17,Floral green narcotic note
Sandalwood oil,8006-87-9,Natural,I2.17,Woody creamy milky note precious
Cedarwood oil Atlas,8000-27-9,Natural,I2.17,Woody dry coniferous note
Cedarwood oil Virginia,8000-27-9,Natural,I2.17,Woody pencil shavings note
Patchouli oil,8014-09-3,Natural,I2.17,Earthy woody herbaceous note
Vetiver oil,8016-96-4,Natural,I2.17,Earthy woody rooty smoky note
Guaiacwood oil,8016-23-7,Natural,I2.17,Smoky woody rosy note
Cypriol oil,8016-96-4,Natural,I2.17,Woody earthy smoky note
Agarwood oil,94350-09-1,Natural,I2.17,Woody resinous balsamic note ultra-precious
Pine oil,8002-09-3,Natural,K2.15,Fresh coniferous pine note
Fir balsam absolute,8021-28-1,Natural,K2.15,Balsamic coniferous sweet note
Black pepper oil,8006-82-4,Natural,E2.15,Spicy woody fresh note
Cardamom oil,8000-66-6,Natural,E2.15,Spicy fresh green note
Cinnamon oil,8015-91-6,Natural,E2.15,Spicy warm sweet note
Clove oil,8000-34-8,Natural,E2.15,Spicy warm phenolic note
Nutmeg oil,8008-45-5,Natural,E2.15,Spicy warm nutty note
Ginger oil,8007-08-7,Natural,E2.15,Spicy fresh peppery note
Coriander oil,8008-52-4,Natural,E2.15,Spicy woody sweet note
Cumin oil,8014-13-9,Natural,E2.15,Spicy earthy cumin note
Caraway oil,8000-42-8,Natural,E2.15,Spicy fresh herbal note
Anise oil,8007-70-3,Natural,E2.15,Spicy sweet licorice note
Star anise oil,8007-70-3,Natural,E2.15,Spicy anise licorice note
Fennel oil,8006-84-6,Natural,E2.15,Spicy anise herbal note
Vanilla absolute,8024-06-4,Natural,F2.17,Sweet creamy vanilla note precious
Benzoin resinoid,9000-05-9,Natural,D2.17,Balsamic sweet vanillic note
Styrax resinoid,8046-19-3,Natural,D2.17,Balsamic sweet cinnamic note
Labdanum absolute,8016-26-0,Natural,D2.17,Balsamic amber leathery note
Myrrh oil,8016-37-3,Natural,D2.17,Balsamic resinous medicinal note
Frankincense oil,8016-36-2,Natural,D2.17,Balsamic resinous spicy note
Opoponax oil,8002-74-2,Natural,D2.17,Balsamic sweet myrrh-like note
Galbanum oil,8023-91-4,Natural,C2.17,Green resinous earthy note
Elemi oil,8023-89-0,Natural,D2.17,Fresh resinous lemony note
Oakmoss absolute,9000-50-4,Natural,C2.17,Earthy woody mossy note
Treemoss absolute,90028-67-4,Natural,C2.17,Woody earthy green note
Ambergris tincture,8038-65-1,Natural,H2.10,Marine amber sweet note ultra-precious
Cistus oil,8016-26-0,Natural,D2.17,Balsamic amber sweet note
Tonka bean absolute,8024-04-2,Natural,D2.17,Sweet coumarin tobacco note
Hay absolute,68916-99-4,Natural,D2.17,Sweet coumarin tobacco note
Tobacco absolute,84961-66-0,Natural,D2.17,Woody sweet tobacco note
Immortelle absolute,8023-95-8,Natural,D2.17,Honey curry spicy note
Chamomile oil,8002-66-2,Natural,F2.17,Herbal apple-like sweet note
Davana oil,8016-03-3,Natural,F2.17,Fruity wine-like note
Angelica root oil,8015-64-3,Natural,C2.17,Earthy musky herbal note
Iris butter,8002-73-1,Natural,F2.17,Powdery violet woody note ultra-precious
Carrot seed oil,8015-88-1,Natural,C2.17,Earthy woody dry note
Celery seed oil,8015-90-5,Natural,C2.17,Spicy herbal fresh note
Parsley seed oil,8000-68-8,Natural,C2.17,Green herbal fresh note
Lovage root oil,8016-31-7,Natural,C2.17,Herbal celery-like note
Buchu oil,8016-37-3,Natural,J2.17,Fruity blackcurrant minty note
Cascarilla oil,8023-80-1,Natural,E2.15,Spicy woody tobacco note
Peru balsam oil,8007-00-9,Natural,D2.17,Balsamic sweet vanilla-like note
Tolu balsam oil,9000-64-0,Natural,D2.17,Balsamic sweet cinnamic note
Copaiba balsam oil,8001-61-4,Natural,D2.17,Woody balsamic mild note
Birch tar oil,8001-88-5,Natural,I2.17,Smoky leathery phenolic note
Cade oil,8013-10-3,Natural,I2.17,Smoky woody tar-like note
Pine tar,8011-48-1,Natural,K2.15,Smoky woody tar-like note
Bergamot mint oil,8014-15-7,Natural,J2.17,Fresh minty citrus note
Camphor oil white,8008-51-3,Natural,K2.15,Camphoraceous medicinal note
Cajeput oil,8008-98-8,Natural,J2.17,Medicinal camphoraceous fresh note
Niaouli oil,8014-68-4,Natural,J2.17,Medicinal fresh eucalyptus-like note
Ravensara oil,91770-56-8,Natural,J2.17,Fresh medicinal anise-like note
Ravintsara oil,92201-55-3,Natural,J2.17,Fresh camphoraceous eucalyptus-like note
Bay leaf oil,8006-78-8,Natural,E2.15,Spicy fresh eugenol-rich note
Allspice oil,8006-77-7,Natural,E2.15,Spicy warm clove-like note
Mace oil,8007-12-3,Natural,E2.15,Spicy warm nutmeg-like note
Pink pepper oil,68917-52-2,Natural,E2.15,Spicy fresh peppery note
Cubeb oil,8007-74-7,Natural,E2.15,Spicy woody peppery note
Long pepper oil,8022-78-4,Natural,E2.15,Spicy woody peppery note
Saffron absolute,8051-67-0,Natural,E2.15,Spicy leather hay-like note ultra-precious
Tagetes oil,8016-84-0,Natural,A2.20,Fresh fruity apple-like note
Marigold absolute,90045-88-2,Natural,F2.17,Honey herbal green note
Calendula oil,84776-23-8,Natural,F2.17,Herbal honey mild note
Arnica absolute,68990-11-4,Natural,F2.17,Herbal tobacco-like note
St Johns Wort oil,84082-80-4,Natural,F2.17,Herbal balsamic note
Melissa oil,8014-71-9,Natural,J2.17,Fresh lemony herbal note
Lemon balm oil,8014-71-9,Natural,J2.17,Fresh lemony herbal note
Hyssop oil,8006-83-5,Natural,J2.17,Herbal camphoraceous note
Sage oil,8016-65-7,Natural,J2.17,Herbal camphoraceous sharp note
Winter savory oil,8016-68-0,Natural,J2.17,Spicy herbal phenolic note
Summer savory oil,8016-68-0,Natural,J2.17,Herbal spicy fresh note
Tarragon oil,8016-88-4,Natural,J2.17,Herbal anise-like fresh note
Dill weed oil,8006-75-5,Natural,J2.17,Herbal fresh anise-like note
Dill seed oil,8006-75-5,Natural,E2.15,Spicy fresh caraway-like note
Chervil oil,90028-03-8,Natural,J2.17,Herbal anise-like delicate note
Chamomile Roman oil,8015-92-7,Natural,F2.17,Herbal apple-like sweet note
Chamomile German oil,8002-66-2,Natural,F2.17,Herbal sweet azulene-rich note
Helichrysum oil,8023-95-8,Natural,D2.17,Honey curry herbal note
Yarrow oil,8022-07-9,Natural,J2.17,Herbal camphoraceous sweet note
Wormwood oil,8008-93-3,Natural,J2.17,Herbal bitter thujone-rich note
Mugwort oil,8016-75-1,Natural,J2.17,Herbal camphoraceous bitter note
Southernwood oil,68991-20-8,Natural,J2.17,Herbal camphoraceous note
Tansy oil,8016-85-1,Natural,J2.17,Herbal camphoraceous thujone-rich note
Pennyroyal oil,8013-99-8,Natural,J2.17,Minty camphoraceous note
Calamint oil,90028-54-9,Natural,J2.17,Minty herbal note
Catmint oil,68917-33-9,Natural,J2.17,Minty herbal camphoraceous note
Patchouli light,8014-09-3,Natural,I2.17,Earthy woody refined note
Vetiver Java,8016-96-4,Natural,I2.17,Earthy woody smoky note
Vetiver Haiti,8016-96-4,Natural,I2.17,Earthy woody rooty note
Vetiver Bourbon,8016-96-4,Natural,I2.17,Earthy woody fresh note
Sandalwood Australian,8006-87-9,Natural,I2.17,Woody creamy note
Sandalwood Indian,8006-87-9,Natural,I2.17,Woody creamy milky note precious
Cedarwood Texas,8000-27-9,Natural,I2.17,Woody dry sharp note
Cedarwood Himalayan,8000-27-9,Natural,I2.17,Woody dry sweet note
Rosewood oil,8015-77-8,Natural,I2.17,Woody floral linalool-rich note
Ho wood oil,8000-68-8,Natural,I2.17,Woody floral linalool-rich note
Amyris oil,8015-65-4,Natural,I2.17,Woody balsamic sandalwood-like note
Balsam fir absolute,8021-28-1,Natural,K2.15,Balsamic sweet coniferous note
Silver fir oil,8021-29-2,Natural,K2.15,Fresh coniferous balsamic note
Douglas fir oil,8021-28-1,Natural,K2.15,Fresh citrus coniferous note
Hemlock oil,8008-81-3,Natural,K2.15,Fresh coniferous note
Spruce oil,8021-29-2,Natural,K2.15,Fresh coniferous balsamic note
Cypress oil,8013-86-3,Natural,K2.15,Woody coniferous fresh note
Juniper berry oil,8012-91-7,Natural,K2.15,Woody fresh coniferous note
Juniper wood oil,8013-10-3,Natural,K2.15,Woody dry coniferous note
Pine needle oil,8002-09-3,Natural,K2.15,Fresh coniferous sharp note
Black spruce oil,8021-29-2,Natural,K2.15,Fresh balsamic coniferous note
White spruce oil,8021-29-2,Natural,K2.15,Fresh sweet coniferous note
Cypress blue oil,94266-48-5,Natural,K2.15,Fresh woody coniferous note
Tea absolute,68916-55-2,Natural,C2.17,Fresh green tea-like note
Mate absolute,84929-49-9,Natural,C2.17,Herbal tobacco green note
Coffee absolute,84650-00-0,Natural,D2.17,Rich roasted coffee note
Cocoa absolute,8002-31-1,Natural,D2.17,Rich chocolate gourmand note
Rum extract,8007-08-7,Natural,D2.17,Sweet boozy fruity note
Cognac oil,8016-21-5,Natural,D2.17,Fruity wine-like boozy note
Wine lees absolute,68916-51-8,Natural,D2.17,Winey fruity alcoholic note
Beer extract,8016-28-2,Natural,D2.17,Malty yeasty note
Malt absolute,8008-42-2,Natural,D2.17,Sweet malty caramel note
Bread crust extract,Proprietary,Natural,,Baked bread toasty note
Popcorn extract,Proprietary,Natural,,Buttery popcorn toasty note
Caramel extract,Proprietary,Natural,,Sweet burnt sugar note
Maple syrup absolute,Proprietary,Natural,,Sweet maple sugary note
Honey absolute,8028-66-8,Natural,D2.17,Sweet floral honey note
Beeswax absolute,8012-89-3,Natural,H2.10,Waxy honey animalic note
Propolis tincture,9009-62-5,Natural,D2.17,Balsamic honey medicinal note
Royal jelly extract,8031-67-2,Natural,H2.10,Sweet honey animalic note
Apple juice concentrate,68916-55-2,Natural,A2.20,Fresh fruity apple note
Pear juice concentrate,68916-51-8,Natural,A2.20,Fresh fruity pear note
Peach juice concentrate,8028-63-5,Natural,A2.20,Fruity sweet peach note
Apricot juice concentrate,68916-55-2,Natural,A2.20,Fruity sweet apricot note
Strawberry furanone,3658-77-3,Synthetic,,Sweet fruity strawberry note
Raspberry ketone,5471-51-2,Synthetic,,Fruity sweet raspberry note
Blackcurrant absolute,68916-08-5,Natural,A2.20,Fruity sweet cassis note
Blackberry extract,Proprietary,Natural,,Fruity sweet berry note
Blueberry extract,Proprietary,Natural,,Fruity sweet berry note
Cranberry extract,Proprietary,Natural,,Fruity tart berry note
Cherry extract,Proprietary,Natural,,Fruity sweet cherry note
Plum extract,Proprietary,Natural,,Fruity sweet plum note
Grape extract,Proprietary,Natural,,Fruity sweet grape note
Watermelon extract,Proprietary,Natural,,Fruity fresh melon note
Melon extract,Proprietary,Natural,,Fruity fresh sweet note
Cantaloupe extract,Proprietary,Natural,,Fruity sweet melon note
Honeydew extract,Proprietary,Natural,,Fruity fresh melon note
Papaya extract,Proprietary,Natural,,Tropical fruity sweet note
Mango extract,Proprietary,Natural,,Tropical fruity rich note
Pineapple extract,Proprietary,Natural,,Tropical fruity fresh note
Passion fruit extract,Proprietary,Natural,,Tropical fruity tart note
Guava extract,Proprietary,Natural,,Tropical fruity sweet note
Lychee extract,Proprietary,Natural,,Fruity floral fresh note
Kiwi extract,Proprietary,Natural,,Fruity green fresh note
Fig extract,Proprietary,Natural,,Fruity green woody note
Date extract,Proprietary,Natural,,Sweet caramel fruity note
Prune extract,Proprietary,Natural,,Sweet caramel fruity note
Raisin extract,Proprietary,Natural,,Sweet caramel fruity note
Coconut extract,8001-31-8,Natural,A2.20,Creamy sweet coconut note
Almond extract,8007-69-0,Natural,D2.17,Sweet marzipan nutty note
Hazelnut extract,Proprietary,Natural,,Sweet nutty praline note
Walnut extract,Proprietary,Natural,,Woody nutty note
Pistachio extract,Proprietary,Natural,,Sweet nutty green note
Chestnut extract,Proprietary,Natural,,Sweet roasted nutty note
Peanut butter extract,Proprietary,Natural,,Rich nutty creamy note
Butter extract,8029-34-3,Natural,H2.10,Rich creamy dairy note
Cream extract,8029-34-3,Natural,H2.10,Rich creamy milky note
Milk extract,8029-34-3,Natural,H2.10,Sweet creamy dairy note
Yogurt extract,Proprietary,Natural,,Creamy tart dairy note
Cheese extract,Proprietary,Natural,,Rich savory dairy note
Caramel milk extract,Proprietary,Natural,,Sweet creamy caramel note
Condensed milk extract,Proprietary,Natural,,Sweet creamy rich note
Custard extract,Proprietary,Natural,,Creamy sweet vanilla note
Ice cream extract,Proprietary,Natural,,Sweet creamy vanilla note
Whipped cream extract,Proprietary,Natural,,Light creamy sweet note
Marshmallow extract,Proprietary,Natural,,Sweet fluffy vanilla note
Cotton candy extract,Proprietary,Natural,,Sweet sugary fluffy note
Bubblegum extract,Proprietary,Natural,,Sweet fruity nostalgic note
Chocolate mint extract,Proprietary,Natural,,Sweet minty chocolate note
Peppermint candy extract,Proprietary,Natural,,Sweet minty fresh note
Spearmint candy extract,Proprietary,Natural,,Sweet minty mild note
Licorice extract,Proprietary,Natural,,Sweet anise herbal note
Menthone,10458-14-7,Natural,J2.17,Minty cooling fresh note
Menthyl acetate,16409-45-3,Natural,J2.17,Minty fresh fruity note
Piperitone,89-81-6,Natural,J2.17,Minty eucalyptus-like note
Pulegone,89-82-7,Natural,J2.17,Minty camphoraceous note
Isomenthone,491-07-6,Natural,J2.17,Minty woody note
Neomenthol,2216-51-5,Natural,J2.17,Minty cooling note
Isopulegol,89-79-2,Natural,J2.17,Minty fresh herbaceous note
Carvacrol,499-75-2,Natural,J2.17,Spicy herbal phenolic note
Thymol,89-83-8,Natural,J2.17,Spicy medicinal phenolic note
Perillaldehyde,2111-75-3,Natural,J2.17,Spicy cumin-like note
Safranal,116-26-7,Natural,E2.15,Spicy saffron hay-like note
Cinnamyl alcohol,104-54-1,Synthetic,,Sweet balsamic cinnamon note
Cinnamic acid,140-10-3,Synthetic,,Balsamic storax-like note
Methyl cinnamate,103-26-4,Synthetic,,Sweet fruity strawberry note
Ethyl cinnamate,103-36-6,Synthetic,,Sweet fruity cinnamon note
Benzyl cinnamate,103-41-3,Synthetic,,Balsamic sweet peru balsam note
Isoeugenol,97-54-1,Synthetic,,Spicy clove carnation note
Methyl eugenol,93-15-2,Natural,E2.15,Spicy clove sweet note
Acetyl eugenol,93-28-7,Synthetic,,Spicy clove carnation note
Vanillyl butyl ether,82654-98-6,Synthetic,,Warm spicy vanilla note
Ethyl vanillin propylene glycol acetal,68527-76-4,Synthetic,,Creamy vanilla caramel note
Heliotropin,120-57-0,Synthetic,,Sweet powdery vanilla cherry note
Piperonal,120-57-0,Synthetic,,Sweet cherry almond heliotrope note
Safrole,94-59-7,Natural,E2.15,Spicy sassafras root beer note
Myristicin,607-91-0,Natural,E2.15,Spicy nutmeg warm note
Apiole,523-80-8,Natural,E2.15,Spicy parsley herbal note
Dillapiole,484-31-1,Natural,E2.15,Spicy dill herbal note
Elemicin,487-11-6,Natural,E2.15,Spicy nutmeg warm note
Asarone,2883-98-9,Natural,E2.15,Spicy woody oriental note
Anethole,104-46-1,Natural,E2.15,Sweet anise licorice note
Estragole,140-67-0,Natural,E2.15,Spicy anise tarragon note
Fenchone,1195-79-5,Natural,E2.15,Camphoraceous fennel note
Trans-Anethole,104-46-1,Natural,E2.15,Sweet anise star anise note
Para-Cymene,99-87-6,Natural,K2.15,Fresh citrus woody note
Limonene oxide,1195-92-2,Natural,A2.15,Fresh minty citrus note
Carvone oxide,6485-40-1,Natural,J2.17,Minty caraway-like note
Rose oxide,16409-43-1,Synthetic,,Fresh rose geranium note
Nerol,106-25-2,Synthetic,,Fresh rose neroli note
Nerolidol,7212-44-4,Natural,F2.17,Floral woody fresh note
Farnesol,4602-84-0,Natural,F2.17,Floral delicate lily note
Phytol,150-86-7,Natural,C2.17,Green waxy floral note
Bisabolol,515-69-5,Natural,F2.17,Floral sweet delicate note
Beta-Caryophyllene,87-44-5,Natural,E2.15,Spicy woody dry note
Alpha-Humulene,6753-98-6,Natural,I2.17,Woody earthy hoppy note
Guaiazulene,489-84-9,Natural,D2.17,Blue resinous woody note
Chamazulene,529-05-5,Natural,F2.17,Blue herbal sweet note
Cedrol,77-53-2,Natural,I2.17,Woody cedarwood dry note
Alpha-Cedrene,469-61-4,Natural,I2.17,Woody dry cedarwood note
Thujopsene,470-40-6,Natural,I2.17,Woody cedarwood note
Vetiverol,89-88-3,Natural,I2.17,Woody earthy rooty note
Khusimol,4674-50-4,Natural,I2.17,Woody earthy vetiver note
Alpha-Vetivone,15764-04-2,Natural,I2.17,Woody earthy smoky note
Beta-Vetivone,18409-30-2,Natural,I2.17,Woody earthy rooty note
Patchoulol,5986-55-0,Natural,I2.17,Earthy woody sweet note
Alpha-Patchoulene,560-32-7,Natural,I2.17,Woody earthy herbaceous note
Pogostol,22985-23-9,Natural,I2.17,Earthy woody patchouli note
Alpha-Santalol,115-71-9,Natural,I2.17,Woody creamy sandalwood note
Beta-Santalol,77-42-9,Natural,I2.17,Woody milky sandalwood note
Santalyl acetate,1323-00-8,Natural,I2.17,Woody creamy soft note
Sclareol,515-03-7,Natural,J2.17,Amber woody tobacco note
Labdanum absolute oil,8016-26-0,Natural,D2.17,Amber leathery balsamic note
Cistus absolute,8016-26-0,Natural,D2.17,Amber sweet balsamic note
Benzyl alcohol,100-51-6,Synthetic,,Sweet floral balsamic note
Phenethyl acetate,103-45-7,Synthetic,,Fruity rose honey note
Geranyl acetate,105-87-3,Natural,F2.17,Fruity floral rosy note
Citronellyl acetate,150-84-5,Synthetic,,Fresh floral rosy note
Neryl acetate,141-12-8,Natural,B2.20,Fresh floral citrus note
Bornyl acetate,76-49-3,Natural,K2.15,Woody camphoraceous pine note
Terpinyl acetate,80-26-2,Natural,J2.17,Fresh herbal lavender note
Isobornyl acetate,125-12-2,Natural,K2.15,Woody camphoraceous note
Cedryl acetate,77-54-3,Natural,I2.17,Woody cedarwood dry note
Vetiverol acetate,117-98-6,Natural,I2.17,Woody earthy refined note
Guaiol,489-86-1,Natural,I2.17,Woody guaiac rosy note
Bulnesol,22451-73-6,Natural,I2.17,Woody sweet sandalwood-like note
Patchouli alcohol,5986-55-0,Natural,I2.17,Earthy woody sweet note
Methylcyclopentenolone,765-70-8,Synthetic,,Maple caramel sweet note
Furaneol,3658-77-3,Synthetic,,Strawberry caramel sweet note
Maltol,118-71-8,Natural,D2.17,Caramel sweet cotton candy note
Cyclotene,21835-01-8,Synthetic,,Maple caramel burnt sugar note
Sotolon,28664-35-9,Synthetic,,Curry maple fenugreek note
Homofuraneol,27538-09-6,Synthetic,,Caramel maple sweet note
Nectaryl,3658-77-3,Synthetic,,Peach nectarine fruity note
Aldehyde C-8,124-13-0,Synthetic,,Citrus orange waxy note
Aldehyde C-9,124-19-6,Synthetic,,Fatty rose orange note
Aldehyde C-10,112-31-2,Synthetic,,Orange citrus waxy note
Aldehyde C-11 undecylenic,112-45-8,Synthetic,,Fatty waxy citrus note
Aldehyde C-12 lauric,112-54-9,Synthetic,,Fatty soapy metallic note
Aldehyde C-14,124-25-4,Synthetic,,Peachy creamy fatty note
Aldehyde C-16,77-83-8,Synthetic,,Creamy coconut waxy note
Aldehyde C-18,638-66-4,Synthetic,,Fatty waxy creamy note
Methyl nonyl acetaldehyde,110-41-8,Synthetic,,Fatty aldehydic waxy note
Decanal,112-31-2,Synthetic,,Orange peel citrus waxy note
Undecanal,112-44-7,Synthetic,,Citrus fresh waxy note
Dodecanal,112-54-9,Synthetic,,Citrus soapy fatty note
Tridecanal,10486-19-8,Synthetic,,Waxy fatty citrus note
Tetradecanal,124-25-4,Synthetic,,Peachy creamy waxy note
Pentadecanal,2765-11-9,Synthetic,,Waxy creamy fatty note
Hexadecanal,629-80-1,Synthetic,,Waxy creamy coconut note
Heptadecanal,629-90-3,Synthetic,,Waxy fatty creamy note
Octadecanal,638-66-4,Synthetic,,Waxy fatty creamy note
Heptanal,111-71-7,Synthetic,,Fresh fatty aldehydic note
Octanal,124-13-0,Synthetic,,Citrus fatty orange peel note
Nonanal,124-19-6,Synthetic,,Fatty rose aldehydic note
Trans-2-Hexenal,6728-26-3,Synthetic,,Green leafy fresh note
Trans-2-Heptenal,18829-55-5,Synthetic,,Green fatty aldehydic note
Trans-2-Octenal,2548-87-0,Synthetic,,Green fatty nutty note
Trans-2-Nonenal,18829-56-6,Synthetic,,Fatty cucumber green note
Trans-2-Decenal,3913-81-3,Synthetic,,Fatty fried chicken note
Trans-2-Undecenal,2463-77-6,Synthetic,,Fatty aldehydic citrus note
Cis-3-Hexenal,6789-80-6,Synthetic,,Intensely green leafy note
Cis-3-Hexenol,928-96-1,Synthetic,,Green fresh grassy note
Trans-2-Hexenol,928-95-0,Synthetic,,Green leafy note
Cis-3-Hexenyl acetate,3681-71-8,Synthetic,,Green fruity banana note
Trans-2-Hexenyl acetate,2497-18-9,Synthetic,,Green apple fruity note
Cis-3-Hexenyl butyrate,16491-36-4,Synthetic,,Green fruity apple note
Cis-3-Hexenyl tiglate,61931-80-8,Synthetic,,Green fruity tropical note
Cis-3-Hexenyl salicylate,65405-77-8,Synthetic,,Green floral herbal note
